news,label
พายุดีเปรสชัน “โคนี” ได้อ่อนกำลังลงเป็นหย่อมความกดอากาศต่ำกำลังแรงบริเวณใกล้ชายฝั่งประเทศเวียดนามแล้ว 9 จังหวัดเตรียมรับฝนและลมแรงพรุ่งนี้,TRUE
อุตุฯเตือน! 12จังหวัดเตรียมรับมือพายุโซนร้อนโคนี ฝนตกหนัก 5พ.ย.นี้,TRUE
จับตาพายุโคนี กรมอุตุฯ ประกาศเตือน 8 จังหวัดโดนฝนถล่ม เฝ้าระวังความเสียหาย ,TRUE
ประกาศกรมอุตุนิยมวิทยา หย่อมความกดอากาศต่ำกำลังแรง ที่อ่อนกำลังลงจากพายุดีเปรสชัน โคนี (พายุระดับ 2) ฉบับที่ 14,TRUE
ภาคใต้ ยังเผชิญกับฝนฟ้าคะนอง ร้อยละ 60 ของพื้นที่ และมีฝนตกหนักบางแห่ง ทะเลคลื่นสูง 1-2 เมตร,TRUE
พายุดีเปรสชันโคนีเคลื่อนขึ้นฝั่งที่เวียดนาม และจะอ่อนกำลังลงเป็นหย่อมความกดอากาศต่ำที่ประเทศกัมพูชา ทำให้วันนี้และพรุ่งนี้ ภาคตะวันออกเฉียงเหนือตอนล่าง และภาคตะวันออก จะมีฝนเล็กน้อยถึงปานกลางกับมีลมแรง ส่วนภาคใต้ตอนล่างยังมีฝนตกหนักต่อ,TRUE
พายุ​โซน​ร้อนกำลังแรง​ อัสนี ​เคลื่อนตัว​เข้าช่องแคบลูซอน ที่​พิกัด​ 21.1°N 121.92°E ​ ​ความเร็ว​ลม​ใกล้​ศูนย์กลาง​พายุ 50 น็อต​ เคลื่อนตัว​ทางตะวันตก​ด้วย​ความเร็ว ​10 กม/ชม​ แนวโน้มอ่อนกำลัง​ลง​เป็น​ดีเปรสชัน​เมื่อเข้าสู่​ทะเล​จีน​ใต้​ช่วงเช้าวันที่ 8 พ.ย,TRUE
เมื่อเวลา 01.00 น. ของวันนี้ (6 พฤศจิกายน 2563) พายุโซนร้อน “โคนี” ได้อ่อนกำลังลงเป็นพายุดีเปรสชันแล้ว,TRUE
อุตุฯ เผยไทยตอนบน อากาศเย็น มีฝนบางแห่ง ยอดดอย-ยอดภูอากาศหนาว ภาคใต้ตอนล่างยังมีฝนตกหนัก ส่วนกรุงเทพฯ-ปริมณฑล มีฝน 10% ของพื้นที่ ,TRUE
ประกาศกรมอุตุนิยมวิทยา ฉบับที่ 13 พายุดีเปรสชัน โคนี คาดว่าจะอ่อนกำลังลงที่ประเทศกัมพูชา ส่งผลให้ภาคตะวันออกเฉียงเหนือตอนล่างและภาคตะวันออก มีฝนเล็กน้อยถึงปานกลาง กับมีลมแรง,TRUE
แผ่นดินไหวในมหาสมุทรอินเดีย พ.ศ. 2547 เป็นแผ่นดินไหวใต้ทะเล เกิดขึ้นเมื่อเวลา 07.58 น. ตามเวลาในประเทศไทย (00:58 UTC) เมื่อวันที่ 26 ธันวาคม พ.ศ. 2547 (ค.ศ. 2004) แรงสั่นสะเทือนจากแผ่นดินไหว ทำให้เกิดความเสียหายบนเกาะสุมาตรา และยังรับรู้ได้ในภาคใต้ของประเทศไทย,TRUE
"อุตุฯ ประกาศ พายุ """"โคนี"""" อ่อนกำลังลง อีสาน-ตะวันออก มีฝนเล็กน้อยถึงปานกลาง",TRUE
กรมอุตุฯ เผย ไทยตอนบนอากาศเย็น ฝนบางแห่ง ยอดดอยยอดภูอากาศหนาว ภาคใต้ตอนล่างฝนตกหนักบางแห่ง กทม.เมฆบางส่วน ฝน 10%,TRUE
กรมอุตุนิยมวิทยา พยากรณ์อากาศ 24 ชั่วโมงข้างหน้า ว่า มวลอากาศเย็นจากประเทศจีนแผ่ปกคลุมประเทศไทยตอนบน ทำให้ภาคเหนือตอนบนมีอากาศเย็นและฝนบางแห่ง ส่วนภาคใต้ตอนล่างมีฝนตกหนักในระยะนี้ กรุงเทพฯและปริมณฑล พบเมฆบางส่วน โดยมีฝน ร้อยละ 10 ของพื้นที่,TRUE
พยากรณ์อากาศ ประกาศกรมอุตุนิยมวิทยา ฉบับที่ 13 พายุโซนร้อน #โคนี ได้อ่อนกำลังลงเป็นพายุดีเปรสชันแล้ว ส่งผลให้ภาคตะวันออกเฉียงเหนือตอนล่างและภาคตะวันออก มีฝนเล็กน้อยถึงปานกลาง กับมีลมแรง,TRUE
"""กรมอุตุฯเตือน """"พายุดีเปรสชัน “โคนี” พายุระดับ 2 มีผลกระทบจนถึงวันที่ 7 นี้",TRUE
"""อุตุฯ เผยไทยตอนบนอากาศเย็น ยอดดอย ยอดภูหนาว อุณหภูมิต่ำสุด 9 องศา ",TRUE
พายุโคนีมีผลกระทบถึง 7 พ.ย. เตือนพี่น้องเกษตรกร 9 จังหวัดระวังความเสียหายต่อผลผลิต ,TRUE
ภาคใต้ฝั่งอันดามัน 6พ.ย.มีฝน60%+ตกหนักบางแห่ง ที่ภูเก็ต กระบี่ ตรัง และสตูล ต่ำสุด 22-24 องศา สูงสุด 32-34 องศา คลื่นสูง 1 เมตร มีฝนฟ้าคะนองคลื่นสูง 2 เมตร ,TRUE
ภาคใต้ฝั่งอ่าวไทย 6พ.ย.มีฝน60%+ตกหนักบางแห่ง ที่นครศรีธรรมราช พัทลุง สงขลา ยะลา ปัตตานี และนราธิวาส ต่ำสุด 23-25 องศา สูงสุด 30-33 องศา คลื่นสูง 1 เมตร มีฝนฟ้าคะนองคลื่นสูง 2 เมตร,TRUE
ภาคอีสาน 6พ.ย.อากาศเย็น มีลมแรง มีฝน10% ที่ อำนาจเจริญ อุบลราชธานี และศรีสะเกษ ต่ำสุด 18-22 องศา สูงสุด 30-31 องศา ยอดภูอากาศหนาว ต่ำสุด 11-15 องศา,TRUE
ภาคเหนือ 6พ.ย.อากาศเย็น มีฝน20% ที่ แม่ฮ่องสอน เชียงใหม่ เชียงราย พะเยา และตาก ต่ำสุด 21-23 องศา สูงสุด 30-33 องศา ยอดดอยอากาศหนาว ต่ำสุด 9-14 องศา,TRUE
6พ.ย.พายุโซนร้อนโคนีเช้านี้อ่อนกำลังลงเป็นดีเปรสชั่นและจะขึ้นฝั่งเมืองกวีนอน ประเทศเวียดนาม แล้วอ่อนกำลังลงเป็นหย่อมความกดอากาศต่ำในกัมพูชา ทำให้อีสานตอนล่างและภาคตะวันออก มีฝนเล็กน้อยถึงปานกลางกับมีลมแรง 6-7 พย,TRUE
6พ.ย.ลมมรสุมตะวันออกเฉียงเหนือพัดปกคลุมอ่าวไทยและภาคใต้ แถมมีหย่อมความกดอากาศต่ำที่ช่องแคบมะละกามาช่วยดึงฝนด้วย แบบนี้ ภาคใต้ตอนล่างจะมีฝนตกหนักได้ ส่วนร่องมรสุมหรือร่องฝนได้เลื่อนลงไปพาดผ่านที่มาเลเซียแล้ว,TRUE
(01.00 น.) พายุโซนร้อนโคนี อ่อนกำลังลงเป็นพายุดีเปรสชัน จะเคลื่อนขึ้นฝั่งเวียดนามเช้าวันนี้ หลังจากนั้นจะอ่อนกำลังลงเป็นหย่อมความกดอากาศต่ำที่กัมพูชา ทำให้มีฝนเล็กน้อย ลมแรง ที่อำนาจเจริญ นครราชสีมา บุรีรัมย์ สุรินทร์ ศรีสะเกษ อุบลราชธานี นครนายก ปราจีนบุรี สระแก้ว ,TRUE
ประเทศไทยตอนบนมีอากาศเย็น โดยมีฝนบางแห่ง บริเวณยอดดอยและยอดภูมีอากาศหนาว ภาคใต้ตอนล่างมีฝนตกหนักในระยะนี้ กทม. และปริมณฑล มีเมฆบางส่วน โดยมีฝน ร้อยละ 10 ของพื้นที่ อุณหภูมิต่ำสุด 23-25 องศาเซลเซียส,TRUE
อุตุฯ เผย พายุโคนีอ่อนกำลัง ฝนตกถึง 6-7 พ.ย.,TRUE
ประกาศกรมอุตุนิยมวิทยา เรื่อง พายุดีเปรสชัน “โคนี” (พายุระดับ 2) มีผลกระทบจนถึงวันที่ 7 พ.ย. 63 ฉบับที่ 13 ลงวันที่ 6 พ.ย. 63,TRUE
กรมอุตุนิยมวิทยา ออกประกาศเรื่อง #พายุดีเปรสชันโคนี (พายุระดับ 2) บริเวณทะเลจีนใต้ตอนกลาง ฉบับที่ 13 (มีผลกระทบจนถึงวันที่ 7 พ.ย.63),TRUE
พายุโคนีอ่อนกำลังลงเป็นดีเปรสชั่น 6-7 พ.ย. อีสานตอนล่าง ปราจีนบุรี สระแก้ว เตรียมรับฝน ตกหนักบางแห่ง,TRUE
"""ประเทศไทยตอนบน ยังคงมีอากาศเย็น โดยมีฝนบางแห่ง ส่วนบริเวณยอดดอยและยอดภูมีอากาศหนาว กทม.อุณหภูมิสูงสุดอยู่ที่ 34 องศา",TRUE
"""ประกาศกรมอุตุนิยมวิทยา """"พายุดีเปรสชัน “โคนี” (พายุระดับ 2) (มีผลกระทบจนถึงวันที่ 7 พ.ย. 2563)""""  ฉบับที่ 13 ลงวันที่ 06 พฤศจิกายน 2563",TRUE
ในประเทศ - 4 ภาคอากาศเย็นลง ใต้ยังเผชิญมรสุมมีฝนตกหนัก กทม.มีฝนเล็กน้อย,TRUE
ไทยตอนบนมีอากาศเย็น ยอดดอย-ยอดภูมีอากาศหนาว จากมวลอากาศเย็นจากจีนภาคใต้ยังมีฝนตกหนักจากมรสุมตะวันออกเฉียงเหนือและหย่อมความกดอากาศต่ำบริเวณช่องแคบมะละกา #พายุโคนี ขึ้นฝั่งเวียดนามเช้านี้ จะอ่อนกำลังลง แต่ยังทำให้ภาคอีสานตอนล่าง-ภาคตะวันออก มีฝน-ลมแรง,TRUE
อุตุฯ เตือนพายุโคนีอ่อนกำลังเป็นดีเปรสชัน ‘9 จังหวัด’ เตรียมรับมือฝน,TRUE
ภาคกลาง เมฆมาก มีฝน 20% ของพื้นที่ ส่วนมากบริเวณนครสวรรค์ ชัยนาท อุทัยธานี กาญจนบุรี,TRUE
"ภาคตะวันออก เมฆมาก มีลมแรง โดยมีฝนฟ้าคะนอง 60% ของพื้นที่ และมีฝนตกหนักบางแห่ง บริเวณจันทบุรี และตราด""",TRUE
ประเทศไทยตอนบนมีฝน กับมีอากาศเย็น ส่วนบริเวณยอดดอยและยอดภูมีอากาศหนาว  ภาคใต้มีฝนตกต่อเนื่องและมีฝนตกหนักบางแห่ง จากอิทธิพลของมรสุมตะวันออกเฉียงเหนือพัดปกคลุมอ่าวไทยและภาคใต้,TRUE
ภาคใต้ฝั่งอันดามัน 8พ.ย.มีฝน60% +ตกหนักบางแห่ง ที่ กระบี่ ตรัง และสตูล ต่ำสุด 23-26 องศา สูงสุด 32-34 องศา คลื่นสูง 1 เมตร มีฝนฟ้าคะนองคลื่นสูง 2 เมตร,TRUE
ภาคใต้ฝั่งอ่าวไทย 8พ.ย.มีฝน60% +ตกหนักบางแห่ง ที่ สงขลา ปัตตานี ยะลา และนราธิวาส ต่ำสุด 23-26 องศา สูงสุด 30-33 องศา คลื่นสูง 1 เมตร มีฝนฟ้าคะนองคลื่นสูง 2 เมตร,TRUE
ภาคตะวันออก 8พ.ย.มีลมแรง มีฝน40% +ตกหนักบางแห่ง ที่ จันทบุรี และตราด ต่ำสุด 23-25 องศา สูงสุด 28-33 องศา มีคลื่นสูง 1 เมตร ห่างฝั่งคลื่นสูง 1-2 เมตร,TRUE
ภาคอีสาน 8พ.ย.อากาศเย็น มีลมแรง มีฝน10% ที่ ชัยภูมิ นครราชสีมา บุรีรัมย์ และสุรินทร์ ต่ำสุด 20-22 องศา สูงสุด 29-31 องศา ยอดภูอากาศหนาว ต่ำสุด 11-15 องศา,TRUE
ภาคเหนือ 8พ.ย.อากาศเย็น มีฝนเล็กน้อย20% ที่ แม่ฮ่องสอน เชียงใหม่ ลำพูน ลำปาง สุโขทัย กำแพงเพชร และตาก ต่ำสุด 20-23 องศา สูงสุด 31-34 องศา ยอดดอยอากาศหนาว ต่ำสุด 9-14 องศา,TRUE
กรมอุตุฯ เผยประเทศไทยตอนบนมีฝนเกิดขึ้นกับอากาศเย็น ส่วนบริเวณยอดดอยและยอดภูอากาศหนาว ภาคใต้มีฝนตกต่อเนื่องและตกหนักบางแห่ง ส่วนกรุงเทพฯ และปริมณฑล มีฝน 40%,TRUE
กรมอุตุนิยมวิทยา พยากรณ์อากาศ วันที่ 8 - 9 พ.ย. 63 ภาคเหนือ อากาศเย็น มีฝน ภาคอีสาน ภาคตะวันออก อากาศเย็น ลมแรง มีฝน ภาคกลาง กทม.-ปริมณฑล เมฆมาก มีฝน ภาคใต้ เมฆเป็นส่วนมาก ฝนฟ้าคะนอง ฝนตกหนักบางแห่ง,TRUE
"กรมอุตุนิยมวิทยา ออกประกาศเรื่อง """"พายุดีเปรสชัน"""" มีผลกระทบตั้งแต่วันที่ 10 – 11 พ.ย. 2563 ฉบับที่ 1",TRUE
"นักวิชาการเผย """"พายุลูกใหม่""""อีก 2 ลูกมีผลกระทบกับไทย เตือนพื้นที่ลุ่มต่ำโคราชเตรียมแผนรับมือน้ำท่วม  ด้านภาคใต้ปรากฏการณ์ลานิญญาทำฝนตกหนัก-ลมแรง ยาวไปถึงปีหน้า",TRUE
"ประกาศกรมอุตุนิยมวิทยา""""พายุโซนร้อน “เอตาว” (พายุระดับ 3) (มีผลกระทบตั้งแต่วันที่ 10 – 11 พ.ย. 2563)"""" ฉบับที่ 2 ลงวันที่ 9 พฤศจิกายน 2563",TRUE
"""กรมอุตุฯประกาศเตือนฉบับ 2 พายุลูกใหม่ ทวีกำลังเป็นพายุโซนร้อน“เอตาว” กระทบไทย 10-11 พ.ย.",TRUE
"""พายุมาอีกลูก กรมอุตุฯประกาศเตือน """"พายุเอตาว"""" ฉบับ 2 จ่อถล่มไทย 10-11 พ.ย. 63",TRUE
04.00 น. ของวันนี้ (9 พ.ย. 63) พายุดีเปรสชัน (พายุระดับ2) บริเวณทะเลจีนใต้ตอนกลางได้ทวีกำลังแรงขึ้นเป็น คาดว่าพายุจะเคลื่อนขึ้นฝั่งประเทศเวียดนามตอนใต้วันที่ 10-11 พ.ย 63  ส่งผลให้ภาคอีสานตอนล่างและภาคตะวันออก มีฝนเล็กน้อยถึงปานกลางกับมีลมแรง,TRUE
กรมอุตุฯ เผยประเทศไทยตอนบน อุณหภูมิจะลดลง 1-3 องศาเซลเซียส อากาศเย็นและมีลมแรง บริเวณยอดดอยและยอดภู อากาศหนาว ขอให้ประชาชนบริเวณภาคเหนือและภาคตะวันออกเฉียงเหนือดูแลสุขภาพเนื่องจากอากาศที่หนาวเย็นลง ,TRUE
อุตุฯ เตือนพายุโซนร้อนเอตาว ฉบับ 3 คาดขึ้นฝั่งเวียดนาม ก่อนอ่อนกำลังเป็นดีเปรสชัน,TRUE
ประกาศ 'กรมอุตุนิยมวิทยา' ฉบับที่ 3 'พายุเอตาว' จ่อขึ้นฝั่งเวียดนามพรุ่งนี้ กระทบอีสาน-ตะวันออก 10-11 พ.ย.นี้,TRUE
"""ประกาศ """"กรมอุตุนิยมวิทยา"""" ฉบับที่ 3 """"พายุเอตาว"""" จ่อขึ้นฝั่งเวียดนามพรุ่งนี้",TRUE
"""กรมอุตุฯ เตือนรับ 14 จังหวัดรับมือฝนตกหนัก - """"เอตาว"""" จ่อขึ้นฝั่งเวียดนามพรุ่งนี้",TRUE
"#กรมอุตุนิยมวิทยา แจ้ง พายุโซนร้อน """"เอตาว"""" (พายุระดับ 3) บริเวณทะเลจีนใต้ตอนกลาง จะเคลื่อนขึ้นฝั่งประเทศเวียดนามตอนกลาง ในวันพรุ่งนี้ ส่งผลให้ภาคตะวันออกเฉียงเหนือตอนล่างและภาคตะวันออก มีฝนเล็กน้อยถึงปานกลางกับมีลมแรง""",TRUE
อุตุฯ ประกาศเตือน พายุโซนร้อน ‘เอตาว’ ฉบับ 4 ส่งผลกระทบไทย 10-11 พ.ย. นี้ ,TRUE
แผ่นดินไหว ขนาด 2.4 แมกนิจูด ที่ประเทศเมียนมา,TRUE
"แผ่นดินไหว ประเทศเมียนมา (20.68,100.10) ขนาด 2.4 วันที่ 10 พฤศจิกายน 2563 เวลา 03:23 น. ตามเวลาประเทศไทย",TRUE
ภาคใต้มีเมฆเป็นส่วนมาก กับมีฝนฟ้าคะนอง 60% ของพื้นที่ และมีฝนตกหนักบางแห่งบริเวณชุมพร สุราษฎร์ธานี นครศรีธรรมราช พัทลุง สงขลา ระนอง พังงา ภูเก็ต กระบี่ ตรัง สตูล ปัตตานี ยะลา และนราธิวาส,TRUE
"#กรุงเทพ #ปริมณฑล อากาศเย็นกับมีลมแรง อุณหภูมิจะลดลง 1-2°C""",TRUE
#ภาคตะวันออกเฉียงเหนือ อากาศเย็นกับมีลมแรง อุณหภูมิจะลดลง 1-3°C โดยมีฝนเล็กน้อยบางแห่ง ยอดภูอากาศหนาว อุณหภูมิต่ำสุด 11-15°C,TRUE
#ภาคกลางอากาศเย็นกับมีลมแรง อุณหภูมิจะลดลง 1-2°C,TRUE
"#ภาคตะวันออกอากาศเย็นกับมีลมแรง อุณหภูมิจะลดลง 1-2°C""",TRUE
#พายุเอตาว จะขึ้นฝั่งเวียดนามตอนกลางวันนี้ และจะอ่อนกำลังลงเป็นดีเปรสชั่น และหย่อมความกดอากาศต่ำบริเวณกัมพูชา  ทำให้ภาคอีสานตอนล่าง-ภาคตะวันออกมีฝนเล็กน้อย-ปานกลาง,TRUE
"#ภาคเหนืออากาศเย็นกับมีลมแรง อุณหภูมิจะลดลง 1-2°C ยอดดอยอากาศหนาว อุณหภูมิต่ำสุด 9-14°C""",TRUE
ประเทศไทยตอนบนอุณหภูมิจะลดลง 1-3°C  มีอากาศเย็น-ลมแรง ยอดดอย-ยอดภูอากาศหนาว  ,TRUE
ภาคใต้ยังคงมีฝนตกต่อเนื่อง-ฝนตกหนักบางแห่ง ตั้งแต่ชุมพรลงไป ลองให้ระวังอันตรายจากน้ำท่วมฉับพลัน-น้ำป่าไหลหลาก ,TRUE
กรมอุตุฯประกาศเตือนฉบับ 6 พายุโซนร้อน“เอตาว” ขึ้นฝั่งเวียดนามวันนี้,TRUE
มวลอากาศเย็นกำลังค่อนข้างแรงอีกระลอกจากจีนได้แผ่ลงมาปกคลุม ประเทศไทยตอนบน อุณหภูมิจะลดลงอีก 1-3 องศาเซลเซียส กับมีอากาศเย็นและมีลมแรง ส่วนยอดดอยและยอดภู มีอากาศหนาว ,TRUE
มรสุมตะวันออกเฉียงเหนือที่พัดปกคลุมอ่าวไทยและภาคใต้มีกำลังแรง ทำให้ภาคใต้มีฝนตกต่อเนื่องและมีฝนตกหนัก ,TRUE
"กรมอุตุนิยมวิทยาเตือน.. พายุโซนร้อน """"เอตาว"""" (พายุระดับ 3) มีผลกระทบตั้งแต่วันที่ 10–11 พ.ย. 2563.. หลังจากนั้นจะอ่อนกำลังลงเป็นพายุดีเปรสชัน และหย่อมความกดอากาศต่ำกำลังแรงบริเวณประเทศกัมพูชา ส่งผลให้ภาคตะวันออกเฉียงเหนือตอนล่างและภาคตะวันออก มีฝนเล็กน้อยถึงปานกลางกับมีลมแรง",TRUE
ประกาศกรมอุตุฯฉ.6 พายุโซนร้อน #เอตาว #Etau (พายุระดับ 3) (มีผลกระทบตั้งแต่วันที่ 10 – 11 พ.ย. 2563) พายุจะเคลื่อนขึ้นฝั่งเวียดนามตอนกลาง วันนี้ (วันที่ 10 พ.ย. 2563) หลังจากนั้นจะอ่อนกำลังลงเป็นพายุดีเปรสชัน (พายุระดับ 2) และหย่อมความกดอากาศต่ำกำลังแรงบริเวณประเทศกัมพูชา,TRUE
อุตุ'เตือนฉบับ6พายุระดับ3'เอตาว' กระทบ'อีสาน-ตอ.'10-11พ.ย.,TRUE
ุอุตุฯ เตือน ภาคใต้ 14 จังหวัด ระวังน้ำท่วมฉับพลัน,TRUE
เช้านี้ (10 พ.ย.63) #ลำปางหนาวมาก อุณหภูมิยังคงลดลงต่อเนื่องเหลือ 18 องศาเซลเซียส อุตุนิยมวิทยาลำปางออกมาเตือนประชาชนให้รักษาสุขภาพ,TRUE
ประกาศ กรมอุตุฯ พายุโซนร้อน“เอตาว” บริเวณประเทศเวียดนาม และพายุโซนร้อน“หว่ามก๋อ” บริเวณตะวันออกเฉียงใต้ประเทศฟิลิปปินส์ (พายุระดับ 3) มีผลกระทบจนถึงวันที่ 15 พ.ย. 2563 ลงวันที่ 10 พ.ย. 63,TRUE
กัมพูชารับมือผลกระทบ 2 พายุเอตาว-หว่ามก๋อ 11-17 พ.ย.นี้,TRUE
ปภ.เผยยังคงมีน้ำท่วมขังใน 3 จังหวัด เร่งสำรวจความเสียหายพื้นที่ประสบภัย ใน 36 จังหวัด,TRUE
พายุ 'เอตาว' ไม่ได้เข้าไทยตรงๆ แต่อีสานตอนล่าง-ตะวันออก เจอฝนเล็กน้อย,TRUE
พายุเอตาว อ่อนกำลัง แต่กระทบอีสาน -ตะวันออกมีฝนตก,TRUE
"ประกาศจากกรมอุตุนิยมวิทยา เกี่ยวกับพายุดีเปรสชัน"""" เอตาว"""" ฉบับที่ 9 มีผลถึงวันที่ 10 พฤศจิกายน",TRUE
พายุเอตาวอ่อนกำลังเป็นหย่อมความกดอากาศต่ำแล้ว อาจทำให้อีสานตอนล่างมีฝนเล็กน้อย จับตาพายุหว่ามก๋อมีผลต่อไทยช่วงวันที่ 15 พ.ย. ลมหนาวจากจีนแผ่ลงมาปกคลุมตอนบน อุณหภูมิลดลง 1-3 องศา ยอดดอยยอดภูอากาศเย็นถึงหนาว ภาคใต้ยังมีฝน,TRUE
เฝ้าระวัง ฝน 18 พ.ย. ช่วงเช้า สงขลา 25°C มีฝนบางพื้นที่จนถึงช่วงบ่าย ตกหนักเป็นแห่งๆสลับแดด 7.9 มม. ลมพัดอ่อน 14-20 กม./ชม,TRUE
อุตุฯเผยไทยตอนบนและกทม.เย็นลมแรง-อีสานตอ.มีฝน20%ใต้ตกหนักบางแห่ง,TRUE
พายุโซนร้อนกำลังแรงหว่ามก๋อ เวลา 07.05 น. เคลื่อนตัวเข้าใกล้เกาะลูซอน ฟิลิปปินส์ ประเมินว่าจะขึ้นเกาะด้วยความแรงเป็นพายุไต้ฝุ่น ระดับ 1-2 ก่อนลงทะเลจีนใต้มุ่งหน้ามาเวียดนาม,TRUE
สภาพอากาศโดยรวมทั่วประเทศ วันที่ 11 พ.ย. 63 ประเทศไทยตอนบน มีอากาศเย็นถึงหนาวกับมีลมแรง อุณหภูมิจะลดลงอีก 1-3 องศาเซลเซียส ส่วนบริเวณยอดดอยและยอดภูมีอากาศหนาว  ภาคใต้ตอนล่างยังคงมีฝนตกหนักบางแห่ง กทม. และปริมณฑล อากาศเย็นกับมีลมแรง ,TRUE
นายกฯ ห่วงเกษตกรได้รับผลกระทบจากพายุ “เอตาว”,TRUE
ปภ.เร่งช่วยเหลือ! 'นครราชสีมา สุพรรณบุรี ชุมพร'น้ำท่วมยังไม่คลี่คลาย,TRUE
ดอยอินทนนท์ สุดประทับใจ อุณหภูมิลดฮวบ ต่ำสุดเหลือเพียง 6 องศาเซลเซียส นักท่องเที่ยวบอกเป็นเสียงเดียวกันว่าไม่ผิดหวัง ได้สัมผัสอากาศหนาวเย็น,TRUE
ปภ. เร่งระบายน้ำท่วมขัง ใน 3 จังหวัด พร้อมสำรวจความเสียหายในพื้นที่ 36 จังหวัด,TRUE
กรมป้องกันและบรรเทาสาธารณภัย รายงานยังคงมีสถานการณ์น้ำท่วมขังในจังหวัดนครราชสีมาและสุพรรณบุรี พร้อมเร่งคลี่คลายสถานการณ์และช่วยเหลือผู้ประสบภัยทุกด้าน,TRUE
ลมหนาวมาแล้ว! ชาวกรุงตื่นเต้นลุ้น 21 องศา อุตุฯฝากบอกจะหนาวจัดช่วงกลางเดือน ธ.ค.,TRUE
"อุตุฯเตือน ฉ.2 พายุ """"หว่ามก๋อ"""" ทวีกำลังแรงเข้าเวียดนาม",TRUE
เฝ้าระวัง ฝน 22 พ.ย. ช่วงบ่าย พัทยา 27°C อาจมีฝนบางพื้นที่จนถึงช่วงค่ำ ตกหนักเป็นแห่งๆสลับแดด 6.2 มม. ลมพัดอ่อน 14-20 กม./ชม,TRUE
"อุตุฯสหรัฐเตือน! ประชาชนให้ระวัง """"พายุทอร์นาโด",TRUE
14.15 น. ศูนย์ป้องกันน้ำท่วม กทม. รายงานว่า มีฝนปานกลางที่เขตสาทร คลองเตย ปทุมวัน บางรัก ราชเทวี ดุสิต บางซื่อ เคลื่อนตัวทิศตะวันตกเฉียงเหนือ,TRUE
12.15 น. สะพานพระราม 9 ทางพิเศษเฉลิมมหานคร ฝนตกหนัก การจราจรติดขัด ทั้งขาเข้า และขาออก #รถติด,TRUE
อุุทยานแห่งชาติภูกระดึงเผย #ภูกระดึง เช้านี้ ยอดภูหมอกหนา อากาศเย็น อุณหภูมิต่ำสุด 13 องศา,TRUE
กรมอุตุฯ เผยไทยตอนบน #อากาศเย็น กับมีหมอกตอนเช้า ส่วนยอดดอย-ยอดภู อากาศเย็นถึงหนาว ขณะที่ภาคใต้มีฝนตกหนักบางแห่ง,TRUE
กรมอุตุนิยมวิทยา พยากรณ์อากาศ 24 ชั่วโมงข้างหน้า มวลอากาศเย็นกำลังอ่อนปกคลุมประเทศไทยตอนบน แต่ยังคงทำให้ประเทศไทยตอนบน เหนือ-อีสาน มีอากาศเย็น ส่วนภาคตะวันออกและภาคใต้มีฝนตกในระยะนี้และมีฝนตกหนักบางแห่ง สำหรับกรุงเทพฯและปริมณฑลเมฆบางส่วน กับมีหมอกบางในตอนเช้า,TRUE
