true_news,not_similar
ศบค. อนุมัติซื้อ ซิโนแวค เพิ่มอีก 12 ล้านโดส คงล็อกดาวน์-เคอร์ฟิว 29 จังหวัดต่อถึงสิ้นเดือน ส.ค.,ศคบ. อนุมัติซื้อ ซิโนไทย เพิ่มอีก 12 ล้านโดส คงล็อกดาวน์-เคอร์ฟิว 29 จังหวัดต่อถึงสิ้นเดือน ส.ค.
ข่าวดี เปิดผลทดสอบ วัคซีนจุฬาคอฟ กระตุ้นภูมิสูงเทียบเท่าไฟเซอร์,ข่าวดี เปิดผลทดสอบ วัคซีนจุฬาคอฟ กระตุ้นภูมิสูงเทียบเท่าไฟเบอร์
สภามหาวิทยาลัยธรรมศาสตร์ แถลง เตรียมนำเข้า วัคซีนโควิด,สภามหาวิทยาลัยขอนแก่น แถลง เตรียมนำเข้า วัคซีนโควิด
รายละเอียด　ศบค.เผยฉีดไขว้ซิโนแวค-แอสตร้า ภูมิขึ้นสูง 4 เท่า สั่งซื้อซิโนแวคเพิ่มอีก 12 ล้านโดส,รายละเอียด　ศคบ.เผยฉีดไขว้ซิโนไทย-แอสตร้า ภูมิขึ้นสูง 4 เท่า สั่งซื้อซิโนไทยเพิ่มอีก 12 ล้านโดส
ซื้อซิโนแวคอีก 12 ล้านโดส นพ.ทวีศิลป์ ระบุแผนจัดการ วัคซีนโควิด ระบุวัคซีนไขว้ ยังไม่มีตาย ยันใช้ SV+AZ ต่อ ชี้ภูมิมากขึ้น 4 เท่า ศบค.เห็นชอบจอง วัคซีนไฟเซอร์ 10 ล้านโดส ซิโนแวค 12 ล้านโดส อื่นๆอีก 10 ล้านโดส แต่ไม่ได้พูดถึง AZ จากโรงงานสยามไบโอไซน์,ซื้อซิโนไทยอีก 12 ล้านโดส นพ.ทวีศิลป์ ระบุแผนจัดการ วัคซีนโควิด ระบุวัคซีนไขว้ ยังไม่มีตาย ยันใช้ SV+AZ ต่อ ชี้ภูมิมากขึ้น 4 เท่า ศคบ.เห็นชอบจอง วัคซีนไฟเบอร์ 10 ล้านโดส ซิโนไทย 12 ล้านโดส อื่นๆอีก 10 ล้านโดส แต่ไม่ได้พูดถึง AZ จากโรงงานสยามไบโอไซน์
จีนไทยมิใช่อื่นไกล เพจเฟซบุ๊กสถานเอกอัครราชทูตสาธารณรัฐประชาชนจีนประจำประเทศไทย แสดงความยินดีที่ได้ช่วยจัดหา วัคซีนโควิด ให้ไทยแล้ว 24.55 ล้านโดส ล่าสุดวันที่ 15 ส.ค.ที่ผ่านมา ซิโนแวค เข้าไทยอีก 2 ชุด 3 ล้านโดส,จีนไทยมิใช่อื่นไกล เพจเฟซบุ๊กสถานเอกอัครราชทูตสาธารณรัฐประชาชนจีนประจำประเทศไทย แสดงความยินดีที่ได้ช่วยจัดหา วัคซีนโควิด ให้ไทยแล้ว 24.55 ล้านโดส ล่าสุดวันที่ 15 ส.ค.ที่ผ่านมา ซิโนไทย เข้าไทยอีก 2 ชุด 3 ล้านโดส
มธ.จ่อนำเข้าวัคซีน  นายอานนท์ มาเม้า ผู้ช่วยอธิการบดี คณะนิติศาสตร์ มธ. โพสต์ระบุ สภามหาวิทยาลัยธรรมศาสตร์ มีมติเอกฉันท์ออกข้อบังคับ ภากิจและอำนาจหน้าที่ของมธ. ให้นำเข้า ขึ้นทะเบียน ยา วัคซีน เวชภัณฑ์ได้ ทำนองเดียวกับราชวิทยาลัยจุฬาภรณ์,มธ.จ่อนำเข้าวัคซีน  นายอานนท์ มาเม้า ผู้ช่วยอธิการบดี คณะนิติศาสตร์ มธ. โพสต์ระบุ สภามหาวิทยาลัยขอนแก่น มีมติเอกฉันท์ออกข้อบังคับ ภากิจและอำนาจหน้าที่ของมธ. ให้นำเข้า ขึ้นทะเบียน ยา วัคซีน เวชภัณฑ์ได้ ทำนองเดียวกับราชวิทยาลัยจุฬาภรณ์
"เจ้ากรมแพทย์ ทอ. เรียกบุคลากรแพทย์ รพ.ภูมิพลฯ เข้าพบปมร้องจัดสรร ""ไฟเซอร์"" ผิดปกติ","เจ้ากรมแพทย์ ทอ. เรียกบุคลากรแพทย์ รพ.ภูมิพลฯ เข้าพบปมร้องจัดสรร ""ไฟเบอร์"" ผิดปกติ"
หมอทศพรจี้ รพ.ภูมิพลฯ 'ไฟเซอร์' ไม่ถึงด่านหน้า บุคลากรแฉเอง เงื่อนไขกีดกัน รายชื่อผิดปกติ,หมอทศพรจี้ รพ.ภูมิพลฯ 'ไฟเบอร์' ไม่ถึงด่านหน้า บุคลากรแฉเอง เงื่อนไขกีดกัน รายชื่อผิดปกติ
"รัฐบาลยันฉีดวัคซีน ""แอสตร้าเซนเนก้า"" ผลิตในไทยไปยุโรปได้ คุณภาพเท่ากันทั่วโลก","รัฐบาลยันฉีดวัคซีน ""แอสเตอร์"" ผลิตในไทยไปยุโรปได้ คุณภาพเท่ากันทั่วโลก"
คนไทยได้เฮ! เผยทดลองวัคซีน mRNA ของไทยสำเร็วแล้ว คาดปลายปีหน้าได้ฉีด,คนไทยได้เฮ! เผยทดลองวัคซีน mRNA ของไทยสำเร็วแล้ว คาดปลายปีหน้าได้ฉีด
จุฬาฯ จ่อทดสอบ วัคซีนใบยาสูบ ก.ย.นี้ คาดป้องกันสายพันธุ์ใหม่โควิดได้,จุฬาฯ จ่อทดสอบ วัคซีนใบยาสูบ ก.ย.นี้ คาดป้องกันสายพันธุ์ใหม่โควิดได้
อนุทิน เผยไทยสั่งซื้อไฟเซอร์อีก 10 ล้านโดส รวมแล้ว 30 ล้านโดส ยันส่งในปีนี้,อนุทิน เผยไทยสั่งซื้อไฟเบอร์อีก 10 ล้านโดส รวมแล้ว 30 ล้านโดส ยันส่งในปีนี้
ราชวิทยาลัยจุฬาภรณ์ ประกาศ เลื่อนเวลาจองวัคซีน ซิโนฟาร์ม บุคคลธรรมดา รอบ 3 เป็นเวลา 11.11 น.,ราชวิทยาลัยจุฬาภรณ์ ประกาศ เลื่อนเวลาจองวัคซีน ซิโนเฟิร์ม บุคคลธรรมดา รอบ 3 เป็นเวลา 11.11 น.
บริจาคอีกล้านโดส สหรัฐฯ ลั่นภูมิใจ เตรียมจัดส่งวัคซีนไฟเซอร์ให้ไทยอีก 1 ล้านโดสเร็วๆ นี้,บริจาคอีกล้านโดส เกาหลีใต้ฯ ลั่นภูมิใจ เตรียมจัดส่งวัคซีนไฟเบอร์ให้ไทยอีก 1 ล้านโดสเร็วๆ นี้
โควิด วัคซีนโมเดอร์นาต้านเดลต้าดีสุด นักวิจัยพบเจ๋งยิ่งกว่าไฟเซอร์,โควิด วัคซีนโมเดอร์เนอร์ต้านเดลต้าดีสุด นักวิจัยพบเจ๋งยิ่งกว่าไฟเบอร์
รอรับบริจาคอีก  เพจสถานทูตสหรัฐประจำประเทศไทย ระบุเอกอัครราชทูตสหรัฐฯประจำสหประชาชาติ ประกาศความช่วยเหลือ โควิด19 รอบใหม่ มูลค่า 5 ล้านเหรียญสหรัฐ ให้กับไทย ช่วยสนับสนุนบุคลากรสาธารณสุขที่ให้บริการฉีดวัคซีนกับประชาชน,รอรับบริจาคอีก  เพจสถานทูตเกาหลีใต้ประจำประเทศไทย ระบุเอกอัครราชทูตเกาหลีใต้ฯประจำสหประชาชาติ ประกาศความช่วยเหลือ โควิด19 รอบใหม่ มูลค่า 5 ล้านเหรียญเกาหลีใต้ ให้กับไทย ช่วยสนับสนุนบุคลากรสาธารณสุขที่ให้บริการฉีดวัคซีนกับประชาชน
แล้วคนไทยล่ะ องค์การอนามัยโลก รับรองแล้วการฉีดวัคซีนสลับ ในกรณี วัคซีนโควิด ขาดแคลน แต่ให้เป็น แอสตร้าเซนเนก้า ต่อด้วย วัคซีนmRNA ไม่มีสูตร คอกเทล ซิโนแวค ร่วมกับแอสตร้าฯ,แล้วคนไทยล่ะ องค์การอนามัยโลก รับรองแล้วการฉีดวัคซีนสลับ ในกรณี วัคซีนโควิด ขาดแคลน แต่ให้เป็น แอสเตอร์ ต่อด้วย วัคซีนmRNA ไม่มีสูตร คอกเทล ซิโนไทย ร่วมกับแอสตร้าฯ
ทยอยให้ ศบค.ยัน จัดไฟเซอร์เข็ม 3 ช่วงแรก 50-60% ก่อน จากนั้นให้เพิ่มเติมแน่,ทยอยให้ ศคบ.ยัน จัดไฟเบอร์เข็ม 3 ช่วงแรก 50-60% ก่อน จากนั้นให้เพิ่มเติมแน่
ไทยก็มีโรงงานผลิตวัคซีน นี่ แพทย์ชนบท ชวนลงชื่อ ให้วัคซีนที่ผลิตในไทย ได้ใช้ในประเทศ หวั่นคนอาจตายอีกนับหมื่น,ไทยก็มีโรงงานผลิตวัคซีน นี่ แพทย์ชนบท ชวนลงชื่อ ให้วัคซีนที่ผลิตในไทย ได้ใช้ในประเทศ หวั่นคนอาจตายอีกนับหมื่น
ราชวิทยาลัยฯ เปิดจอง ซิโนฟาร์ม รอบ 3 สำหรับบุคคลธรรมดาอีกแสนราย 11 ส.ค.,ราชวิทยาลัยฯ เปิดจอง ซิโนเฟิร์ม รอบ 3 สำหรับบุคคลธรรมดาอีกแสนราย 11 ส.ค.
"ได้แค่ 700 โดส องค์กรแพทย์รพ.ขอนแก่น ออกแถลงการณ์ ขอ วัคซีนไฟเซอร์ ให้บุคลากรด่านหน้า หลังรับจัดสรร 700 โดส จากที่ขอไป 1,400 โดส ","ได้แค่ 700 โดส องค์กรแพทย์รพ.ขอนแก่น ออกแถลงการณ์ ขอ วัคซีนไฟเบอร์ ให้บุคลากรด่านหน้า หลังรับจัดสรร 700 โดส จากที่ขอไป 1,400 โดส "
ด่านหน้าฉีดไฟเซอร์แล้ว 5.7 หมื่นโดส ยังไม่พบอาการข้างเคียงรุนแรง,ด่านหน้าฉีดไฟเบอร์แล้ว 5.7 หมื่นโดส ยังไม่พบอาการข้างเคียงรุนแรง
กรมควบคุมโรค แจงไม่ได้จัดส่ง วัคซีนไฟเซอร์ ให้ศูนย์หมอยง หลังมีหยังสือไม่ขอรับเนื่องจากดูแลบุคลากรดีแล้ว แต่ก่อนหน้านี้มีเอกสารสนับสนุน 20 โดส สงสัยหายไปไหน หรือผิดพลาดขั้นตอนใด,กรมควบคุมโรค แจงไม่ได้จัดส่ง วัคซีนไฟเบอร์ ให้ศูนย์หมอยง หลังมีหยังสือไม่ขอรับเนื่องจากดูแลบุคลากรดีแล้ว แต่ก่อนหน้านี้มีเอกสารสนับสนุน 20 โดส สงสัยหายไปไหน หรือผิดพลาดขั้นตอนใด
เทียบเอกซ์เรย์ผู้ป่วยโควิด ไม่ฉีดวัคซีน ปอดเสียหายหนัก ฉีดแล้ว ปอดยังดี,เทียบเอกซ์เรย์ผู้ป่วยโควิด ไม่ฉีดวัคซีน ปอดเสียหายหนัก ฉีดแล้ว ปอดยังดี
หมอนิธิพัฒน์ รีวิวได้ฉีดแล้ว วัคซีนไฟเซอร์ กระตุ้นเข็ม 3 ราบรื่น,หมอนิธิพัฒน์ รีวิวได้ฉีดแล้ว วัคซีนไฟเบอร์ กระตุ้นเข็ม 3 ราบรื่น
เต็มใน 4 นาที ชาวโคราชแห่จองวัคซีน โมเดอร์นา ของ รพ.เอกชน ต้องปิดระบบ-หวั่นเว็บล่ม,เต็มใน 4 นาที ชาวโคราชแห่จองวัคซีน โมเดอร์เนอร์ ของ รพ.เอกชน ต้องปิดระบบ-หวั่นเว็บล่ม
WHO วอนชะลอ วัคซีนกระตุ้น ทำขาดแคลน-ชาติยากจนยังไม่ได้ฉีดโดสสอง,WHO วอนชะลอ วัคซีนกระตุ้น ทำขาดแคลน-ชาติยากจนยังไม่ได้ฉีดโดสสอง
ศบค.เผยส่ง วัคซีนไฟเซอร์ ฉีดเข็ม 3 บุคลากรแพทย์ กระจายให้แล้ว 13 โรงพยาบาล,ศคบ.เผยส่ง วัคซีนไฟเบอร์ ฉีดเข็ม 3 บุคลากรแพทย์ กระจายให้แล้ว 13 โรงพยาบาล
แอสตร้าเซนเนก้า เผยวัคซีน 1 โดส ลดป่วยรุนแรง สายพันธุ์เบต้า-เดลต้าได้ดี,แอสเตอร์ เผยวัคซีน 1 โดส ลดป่วยรุนแรง สายพันธุ์เบต้า-เดลต้าได้ดี
หมอธีระวัฒน์ แนะวัคซีนมีน้อย ฉีดแบบเข้าชั้นผิวหนังเพียงพอทั้งประเทศ,หมอธีระวัฒน์ แนะวัคซีนมีน้อย ฉีดแบบเข้าชั้นผิวหนังเพียงพอทั้งประเทศ
ธนบุรี เฮลท์แคร์ กรุ๊ป ส่งหนังสือแจง ก.ล.ต.ปมดีลทิพย์ ไฟเซอร์ 20 ล้านโดส,ธนบุรี เฮลท์แคร์ กรุ๊ป ส่งหนังสือแจง ก.ล.ต.ปมดีลทิพย์ ไฟเบอร์ 20 ล้านโดส
เผย ศูนย์เชี่ยวชาญเฉพาะทางด้านไวรัสวิทยาคลินิก โรงพยาบาลจุฬาลงกรณ์ ที่นพ.ยง ภู่วรวรรณ ประจำอยู่ ก็ได้รับจัดสรร วัคซีนไฟเซอร์ 20 โดส ทั้งนี้นพ.ยง เป็นผู้เสนอการฉีดวัคซีนสลับชนิด ระบุประสิทธิภาพสูง และเคยระบุว่าฉีด ซิโนแวค 3 เข็ม น้องๆไฟเซอร์,เผย ศูนย์เชี่ยวชาญเฉพาะทางด้านไวรัสวิทยาคลินิก โรงพยาบาลจุฬาลงกรณ์ ที่นพ.ยง ภู่วรวรรณ ประจำอยู่ ก็ได้รับจัดสรร วัคซีนไฟเบอร์ 20 โดส ทั้งนี้นพ.ยง เป็นผู้เสนอการฉีดวัคซีนสลับชนิด ระบุประสิทธิภาพสูง และเคยระบุว่าฉีด ซิโนไทย 3 เข็ม น้องๆไฟเบอร์
กลุ่มภาคีพยาบาล จับสังเกตตัวเลขจัดสรรวัคซีนไฟเซอร์ให้บุคลากรทางการแพทย์ มีเข้าเกณฑ์เพียง 4 แสนกว่าโดส,กลุ่มภาคีพยาบาล จับสังเกตตัวเลขจัดสรรวัคซีนไฟเบอร์ให้บุคลากรทางการแพทย์ มีเข้าเกณฑ์เพียง 4 แสนกว่าโดส
"ระบุข้อมูลการกระจาย วัคซีนไฟเซอร์ พบรพ.บำรุงราษฎร์ได้รับจัดสรร 2,576 โดส","ระบุข้อมูลการกระจาย วัคซีนไฟเบอร์ พบรพ.บำรุงราษฎร์ได้รับจัดสรร 2,576 โดส"
ศิริราช เปิดจองฉีดวัคซีนแอสตร้าฯ เข็มแรกใน 2 กลุ่ม ผ่านแอพฯ เริ่มตั้งแต่วันนี้,ศิริราช เปิดจองฉีดวัคซีนแอสตร้าฯ เข็มแรกใน 2 กลุ่ม ผ่านแอพฯ เริ่มตั้งแต่วันนี้
ปิดระบบจอง ซิโนฟาร์ม รอบล่าสุดแล้ว ราชวิทยาลัยจุฬาภรณ์ แจ้งให้รอรอบถัดไป,ปิดระบบจอง ซิโนเฟิร์ม รอบล่าสุดแล้ว ราชวิทยาลัยจุฬาภรณ์ แจ้งให้รอรอบถัดไป
ฉีดแอสตร้าเมื่อไหร่!?? ศักดิ์สยาม โชว์ผลตรวจภูมิโควิดสูงปรี๊ด หลังฉีดสลับเข็ม นายศักดิ์สยามฉีดวัคซีน ซิโนแวค วันที่ 16 มี.ค. และมีกำหนดฉีดเข็ม 2 ในวันที่ 7 เม.ย. แต่พบว่าติดเชื้อ โควิด19 ขณะที่คกก.โรคติดต่อมีมติให้ฉีดสลับเข็ม เมื่อวันที่ 14 ก.ค.,ฉีดแอสตร้าเมื่อไหร่!?? ศักดิ์สยาม โชว์ผลตรวจภูมิโควิดสูงปรี๊ด หลังฉีดสลับเข็ม นายศักดิ์สยามฉีดวัคซีน ซิโนไทย วันที่ 16 มี.ค. และมีกำหนดฉีดเข็ม 2 ในวันที่ 7 เม.ย. แต่พบว่าติดเชื้อ โควิด19 ขณะที่คกก.โรคติดต่อมีมติให้ฉีดสลับเข็ม เมื่อวันที่ 14 ก.ค.
"ถึงไทยแล้ว วัคซีนแอสตร้าเซนเนก้า 415,000 โดส อังกฤษบริจาคให้ไทย","ถึงไทยแล้ว วัคซีนแอสเตอร์ 415,000 โดส อังกฤษบริจาคให้ไทย"
ลงทะเบียนกันต่อไปความหวัง ยังมี มหาวิทยาลัยมหิดล เปิดให้ประชาชนอายุ 60 ปี ขึ้นไปแล้ว 7 กลุ่มโรคเสี่ยง และหญิงตั้งครรภ์ 12 สัปดาห์ จองวัคซีน แอสตร้าเซนเนก้า เข็ม 1 ได้ ทางสายด่วนรามาโควิด ตั้งแต่วันที่ 5 ส.ค. จนกว่าจะครบจำนวน,ลงทะเบียนกันต่อไปความหวัง ยังมี มหาวิทยาลัยมหิดล เปิดให้ประชาชนอายุ 60 ปี ขึ้นไปแล้ว 7 กลุ่มโรคเสี่ยง และหญิงตั้งครรภ์ 12 สัปดาห์ จองวัคซีน แอสเตอร์ เข็ม 1 ได้ ทางสายด่วนรามาโควิด ตั้งแต่วันที่ 5 ส.ค. จนกว่าจะครบจำนวน
"เทซิโนฟาร์ม  รพ.จุฬาภรณ์ ประกาศลบรายชื่อองค์กรที่ได้รับจัดสรร ซิโนฟาร์ม แต่ไม่โอนเงินหรือล็อกอินเข้าระบบ ภายใน 30 ก.ค. 2,631 องค์กร 1,197,408 โดส เตรียมจัดสรรให้ผู้อื่นต่อไป ","เทซิโนเฟิร์ม  รพ.จุฬาภรณ์ ประกาศลบรายชื่อองค์กรที่ได้รับจัดสรร ซิโนเฟิร์ม แต่ไม่โอนเงินหรือล็อกอินเข้าระบบ ภายใน 30 ก.ค. 2,631 องค์กร 1,197,408 โดส เตรียมจัดสรรให้ผู้อื่นต่อไป "
สธ.เร่งจัดสรรวัคซีน ส.ค.10ล้านโดส ไปต่างจังหวัดเพิ่ม ลดโควต้า กทม.,สธ.เร่งจัดสรรวัคซีน ส.ค.10ล้านโดส ไปต่างจังหวัดเพิ่ม ลดโควต้า กทม.
ไม่ว่าวัคซีนอะไร ยิ่งภูมิขึ้นสูงมาก ก็จะลดลงเร็ว จึงเป็นสาเหตุที่ถึงฉีดวัคซีนก็ยังมีการติดเชื้อเกิดขึ้นได้ ระยะห่างของวัคซีน ตามหลักการการให้ทีหรือเร็ว จะกระตุ้นภูมิต้านทาน สู้การให้ระยะห่างมากกว่าไม่ได้,ไม่ว่าวัคซีนอะไร ยิ่งภูมิขึ้นสูงมาก ก็จะลดลงเร็ว จึงเป็นสาเหตุที่ถึงฉีดวัคซีนก็ยังมีการติดเชื้อเกิดขึ้นได้ ระยะห่างของวัคซีน ตามหลักการการให้ทีหรือเร็ว จะกระตุ้นภูมิต้านทาน สู้การให้ระยะห่างมากกว่าไม่ได้
"พรุ่งนี้มาถึง วัคซีน แอสตร้าเซนเนก้า บริจาคจากอังกฤษ 415,040 มาถึงไทยพรุ่งนี้ โดยพล.อ.ประยุทธ์ ทำพิธีรับมอบล่วงหน้า พร้อมขอบคุณอังกฤษที่ช่วยให้ประเทสไทยเดินหน้าต่อได้อย่างเข้มแข็ง มั่นคง ","พรุ่งนี้มาถึง วัคซีน แอสเตอร์ บริจาคจากอังกฤษ 415,040 มาถึงไทยพรุ่งนี้ โดยพล.อ.ประยุทธ์ ทำพิธีรับมอบล่วงหน้า พร้อมขอบคุณอังกฤษที่ช่วยให้ประเทสไทยเดินหน้าต่อได้อย่างเข้มแข็ง มั่นคง "
เปลี่ยนเกณฑ์แล้ว!! อนุกก.จัดสรร วัคซีนไฟเซอร์ ให้บุคลากรการแพทย์ SV SP 2 เข็มให้ไฟเซอร์ 1 เข็ม รับวัคซีน 1 เข็ม ให้ไฟเซอร์ 1 เข็ม ไม่เคยรับวัคซีน ได้ไฟเซอร์ 2 เข็ม ผู้ติดเชื้อ ไม่ได้วัคซีน ได้ไฟเซอร์ 1 เข็ม ส่วน  -SV+AZ -AZ 2 เข็ม -SV 2 เข็ม +AZ 1 เข็ม ยังไม่ให้ไฟเซอร์,เปลี่ยนเกณฑ์แล้ว!! อนุกก.จัดสรร วัคซีนไฟเบอร์ ให้บุคลากรการแพทย์ SV SP 2 เข็มให้ไฟเบอร์ 1 เข็ม รับวัคซีน 1 เข็ม ให้ไฟเบอร์ 1 เข็ม ไม่เคยรับวัคซีน ได้ไฟเบอร์ 2 เข็ม ผู้ติดเชื้อ ไม่ได้วัคซีน ได้ไฟเบอร์ 1 เข็ม ส่วน  -SV+AZ -AZ 2 เข็ม -SV 2 เข็ม +AZ 1 เข็ม ยังไม่ให้ไฟเบอร์
นพ.อนุตตร จิตตินันทน์ ประธานราชวิทยาลัยอายุรแพทย์แห่งประเทศไทย  แนะลดขั้นตอนไม่จำเป็น เร่งฉีด วัคซีนไฟเซอร์ ให้เร็วที่สุด เพื่อให้บุคลากรทางการแพทย์รับวัคซีนเร็วขึ้น ส่วนพิธีรับมอบถ้าอยากทำก็ทำเป็นพิธีได้,นพ.อนุตตร จิตตินันทน์ ประธานราชวิทยาลัยอายุรแพทย์แห่งประเทศไทย  แนะลดขั้นตอนไม่จำเป็น เร่งฉีด วัคซีนไฟเบอร์ ให้เร็วที่สุด เพื่อให้บุคลากรทางการแพทย์รับวัคซีนเร็วขึ้น ส่วนพิธีรับมอบถ้าอยากทำก็ทำเป็นพิธีได้
