news,label,type
อ.บางละมุงไม่สามารถควบคุมการแพร่ระบาดโควิด-19 สายพันธุ์โอไมครอนได้ และรพ.ไม่รองรับ,FALSE,FALSE_ACTUAL_TRAIN
วัคซีนโควิด 19 มีสารกัมมันตภาพรังสีและนาโน พาทิเคิล เป็นอันตรายต่อมนุษย์,FALSE,FALSE_ACTUAL_TRAIN
 นายกฯ สั่ง ล็อกดาวน์ 5 จังหวัด มีความเสี่ยงสูง,FALSE,FALSE_ACTUAL_TRAIN
 จังหวัดชลบุรี ประกาศล็อกดาวน์,FALSE,FALSE_ACTUAL_TRAIN
 หน้ากากอนามัยแบบผ้าไม่สามารถป้องกันโควิดสายพันธุ์โอไมครอนได้,FALSE,FALSE_ACTUAL_TRAIN
 สูดดมไอน้ำจากหม้อต้มสมุนไพร ช่วยฆ่าเชื้อโควิด-19,FALSE,FALSE_ACTUAL_TRAIN
 จันทบุรีท้องเสียพร้อมกันทั้งจังหวัด ผลจากวัคซีนป้องกันโควิด-19,FALSE,FALSE_ACTUAL_TRAIN
 พนักงานติดโควิด-19 แล้วต้องกักตัว 14 วัน บริษัทมีสิทธิ์ไม่จ่ายเงินเดือน,FALSE,FALSE_ACTUAL_TRAIN
 กองประชาสัมพันธ์กทม. อัปเดตสถานที่เสี่ยงโควิด 19 จำนวน 36 สถานที่,FALSE,FALSE_ACTUAL_TRAIN
 ทานเนื้อวัว นมวัว เป็นประจำทำให้เลือดเป็นกรด เสี่ยงติดเชื้อโควิดได้ง่าย,FALSE,FALSE_ACTUAL_TRAIN
 หลังฉีดวัคซีนโควิด 19 ห้ามทำฟัน ห้ามฉีดยาชา,FALSE,FALSE_ACTUAL_TRAIN
 คลื่นสัญญาณจากโทรศัพท์ 5G เป็นตัวกระตุ้นวัคซีนโควิด 19 ให้ทำอันตรายต่อร่างกาย,FALSE,FALSE_ACTUAL_TRAIN
 การทดสอบ PCR เป็นการสร้างความเสียหายต่อสมอง,FALSE,FALSE_ACTUAL_TRAIN
 กระทรวงแรงงานอนุมัติเงินเยียวยาสำหรับผู้ตกงานช่วงโควิด 19 สูงสุด 100 เท่า,FALSE,FALSE_ACTUAL_TRAIN
 ผลิตภัณฑ์ฟ้าทะลายโจร ตรา TOP สามารถต้านไวรัส ช่วยป้องกันโควิด-19 ได้,FALSE,FALSE_ACTUAL_TRAIN
 เอกสารรับรองการฉีดวัคซีนโควิด 19 สามารถจ้างผู้อื่นทำได้ แม้ไม่ได้ฉีดจริง,FALSE,FALSE_ACTUAL_TRAIN
ระวังลิงก์ปลอม! อ้างเป็นโรงพยาบาลให้กรอกข้อมูลจองวัคซีนโควิด-19 ,FALSE,FALSE_ACTUAL_TRAIN
 ยาห้าราก และยาจันทลีลา ช่วยลดโอกาสเสียชีวิตจากโควิด-19,FALSE,FALSE_ACTUAL_TRAIN
หมั่นทำความสะอาดสิ่งของเครื่องใช้ ห่างไกลโควิด-19,FALSE,FALSE_ACTUAL_TRAIN
 พบผู้ติดเชื้อโควิด-19 ที่ห้างบิ๊กซี ลพบุรี,FALSE,FALSE_ACTUAL_TRAIN
 ผู้ที่ทานเนื้อวัว นมวัว เป็นประจำ จะทำให้เลือดเป็นกรด เชื้อไวรัสโควิด-19 เจริญเติบโตได้ง่าย,FALSE,FALSE_ACTUAL_TRAIN
 น้ำยา CHEMGENE HLD4H สามารถกำจัดเชื้อโควิด-19 ได้ภายใน 1 นาที ,FALSE,FALSE_ACTUAL_TRAIN
 ผลิตภัณฑ์ uSmile101 ใบหม่อน มีสารออกฤทธิ์ยับยั้งโควิด-19 ได้ 100%,FALSE,FALSE_ACTUAL_TRAIN
 เลือดของผู้ที่ฉีดวัคซีนโควิดมีสีดำคล้ำ ไม่สามารถนำไปใช้รักษาผู้ป่วยได้,FALSE,FALSE_ACTUAL_TRAIN
" จ.เชียงใหม่ พบนักศึกษา ม.เชียงใหม่ ติดเชื้อโควิด 19 จำนวนมาก ทำให้ทุกพื้นที่ของเชียงใหม่เสี่ยงหมด

",FALSE,FALSE_ACTUAL_TRAIN
" ตลาดกิมหยง พบแม่ค้าพ่อค้า ติดเชื้อโควิด-19 ถึงร้อยละ 82 ห้ามเข้าไปในพื้นที่เด็ดขาด

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ BetaX ช่วยยับยั้งการเจริญเติบโตของไวรัสโควิด-19 ได้ 100%

",FALSE,FALSE_ACTUAL_TRAIN
" ไปเลือกตั้งนายกและสมาชิกสภา อบต. วันที่ 28 พ.ย. 64 ต้องฉีดวัคซีนป้องกันโควิด-19 แล้ว

",FALSE,FALSE_ACTUAL_TRAIN
" บริษัทมีสิทธิ์ไม่จ่ายเงินเดือนพนักงานที่ติดโควิด-19 แล้วต้องกักตัว 14 วัน เพราะถือว่าขาดงาน

",FALSE,FALSE_ACTUAL_TRAIN
" เอกสารหนังสือรับรอง และแสดงการยินยอม เงื่อนไขการรับวัคซีนโควิด 19

",FALSE,FALSE_ACTUAL_TRAIN
" จ.ภูเก็ต ยกเลิกขอผลตรวจโควิด-19 และยกเลิกลงทะเบียนแจ้งข้อมูลเดินทางแบบออนไลน์

",FALSE,FALSE_ACTUAL_TRAIN
" คปภ. ออกมาตรการให้บริษัทประกันสามารถเปลี่ยนแปลงกรมธรรม์ได้

",FALSE,FALSE_ACTUAL_TRAIN
"หากรับบริจาคเลือดจากผู้ที่ฉีดวัคซีนมา จะทำให้ได้รับผลจากวัคซีนดังกล่าวไปด้วย

",FALSE,FALSE_ACTUAL_TRAIN
" คำเตือนจากแพทย์ทั่วโลก ห้ามประชาชนฉีดวัคซีนโควิด-19 เพราะจะเกิดอันตรายต่อร่างกาย

",FALSE,FALSE_ACTUAL_TRAIN
" เรือนจำกลางนครศรีธรรมราช พบนักโทษติดเชื้อโควิด-19 จำนวน 1,300 คน

",FALSE,FALSE_ACTUAL_TRAIN
" ดื่มน้ำอ้อยดำต้มใบเตย ช่วยลดลิ่มเลือดอุดตันหลังฉีดวัคซีนโควิด

",FALSE,FALSE_ACTUAL_TRAIN
" พบนักท่องเที่ยวชาวต่างชาติเดินทางเข้าภูเก็ต 6 ประเทศ มีผลติดเชื้อโควิด-19 ทุกราย

",FALSE,FALSE_ACTUAL_TRAIN
" โควิด19 สายพันธุ์แลมบ์ดาระบาดหนักในเขตมีนบุรี หมอประสิทธิ์ ขอให้ประชาชนล็อกดาวน์ตัวเอง

",FALSE,FALSE_ACTUAL_TRAIN
" อดีตอธิบดีกรมการแพทย์แจ้ง หลังเปิดประเทศ 1 พ.ย. ใครติดโควิดต้องรักษาเอง

",FALSE,FALSE_ACTUAL_TRAIN
" จีนไม่ออกพาสปอร์ตและห้ามคนจีนเที่ยวต่างประเทศอย่างต่ำ 2 ปี รัฐบาลและผู้ประกอบการเตรียมรับมือด่วน

",FALSE,FALSE_ACTUAL_TRAIN
" สั่งปิดเขาค้อ-ภูทับเบิก 14 วัน หลังพบคลัสเตอร์โควิดขนาดใหญ่

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ ยาห้าราก ตราพิมพา ช่วยลดการขยายตัวของเชื้อไวรัส บำรุงร่างกายให้มีภูมิคุ้มกันสู้กับเชื้อโควิด19

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ตรีผลา ตราพิมพา สามารถยับยั้งการสร้างและการแบ่งตัวของเชื้อโควิด19

",FALSE,FALSE_ACTUAL_TRAIN
" งดเดินทางไป 10 จังหวัด เพราะเป็นแหล่งติดต่อเชื้อโควิด19

",FALSE,FALSE_ACTUAL_TRAIN
" วัคซีนป้องกันโรคโควิด-19 มีสารกัมมันตภาพรังสีและนาโน พาทิเคิลที่เป็นอันตรายต่อชีวิตมนุษย์

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์กระชายขาว ตรา BioProud กินแล้วเชื้อโควิด-19 ไม่ลงปอด

",FALSE,FALSE_ACTUAL_TRAIN
" หน้ากากทำจากทองแดง ฆ่าเชื้อโควิดได้ 100% ใน 30 นาที 

",FALSE,FALSE_ACTUAL_TRAIN
" สเปรย์กระชายขาว ‘OK FRESH MOUTH SPRAY’ ยับยั้งเชื้อก่อนลงปอด

",FALSE,FALSE_ACTUAL_TRAIN
" ปล่อยกู้สินเชื่อสนับสนุนผู้ได้รับผลกระทบจากโควิด-19 ของ 8 ธนาคาร ผ่านไลน์ Charity Loan

",FALSE,FALSE_ACTUAL_TRAIN
" รักษาโรคโควิด-19 ได้ โดยการนำยาอะม็อกซีซิลลิน และอะซิโธรมัยซิน ละลายน้ำแล้วดื่ม

",FALSE,FALSE_ACTUAL_TRAIN
" รายชื่อยาทั้ง 6 ชนิด ที่ควรซื้อติดบ้านไว้รักษาโควิด-19 ด้วยตัวเอง

",FALSE,FALSE_ACTUAL_TRAIN
" อเมริกาจะปล่อยเชื้อโควิดในประเทศไทย ผู้ที่ได้รับเชื้อจะมีอาการรุนแรงภายใน 2 ชม. และอยู่ได้ไม่เกิน 2-3 วัน

",FALSE,FALSE_ACTUAL_TRAIN
" ยาฟ้าทะลายโจร สามารถกินก่อนติดเชื้อโควิด-19 ได้ ไม่ทำลายตับ แต่เป็นการช่วยบำรุงรักษาตับ

",FALSE,FALSE_ACTUAL_TRAIN
" วัคซีนโควิด-19 เป็นอาวุธชีวภาพที่ใช้ฆ่าคนทางอ้อม คนที่ฉีดจะมีชีวิตไม่ยืนยาว

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์เสริมอาหาร สารสกัดกระชายขาวผสมพลูคาว ช่วยเสริมภูมิคุ้มกัน ต้านโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" กรมขนส่ง บังคับรถแท็กซี่ติดตั้งฉากกั้นโควิด-19 ทุกคัน

",FALSE,FALSE_ACTUAL_TRAIN
"ซื้อของจากซูเปอร์มาร์เกตอย่างไรให้ปลอดภัย ให้ปลอดภัยจากโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ W VIT-C ช่วยเสริมภูมิคุ้มกัน ต้านโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" สเปรย์พ่นปากฟ้าทะลายโจร ตราวี เฟรช สามารถป้องกันเชื้อไวรัสโควิด-19 ลงปอดได้

",FALSE,FALSE_ACTUAL_TRAIN
" ด.ต. ปริวัติ นามลา เสียชีวิตหลังฉีดวัคซีนเข็ม 2 ได้เพียง 1 สัปดาห์​

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์กระชายขาวพลัสดี สามารถยับยั้งการเพิ่มจำนวนเซลล์ไวรัสโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ยาแคปซูลฟ้าทะลายโจร Prajuab Herbs เป็นผลิตภัณฑ์ที่ได้รับอนุญาตจาก อย.

",FALSE,FALSE_ACTUAL_TRAIN
" ยาดมสมุนไพรกระชายขาว สูดดมช่วยดักจับเชื้อโควิด ก่อนลงปอด

",FALSE,FALSE_ACTUAL_TRAIN
" ภูเก็ตแซนด์บ็อกซ์ ติดโควิด-19 ทั้งเกาะ แต่ปิดข่าว

",FALSE,FALSE_ACTUAL_TRAIN
" เว็บไซต์ หมอพร้อม.com เป็นของรัฐ และเชื่อมโยงกับแอปฯ หมอพร้อม

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ BS สารสกัดสมุนไพรฟื้นภูมิคุ้มกัน ต้านไวรัส ต้านการอักเสบของปอด

",FALSE,FALSE_ACTUAL_TRAIN
" เจ้าหน้าที่ฌาปนกิจวัดพระศรีมหาธาตุฯ ติดเชื้อโควิด-19 จำนวน 20 คน

",FALSE,FALSE_ACTUAL_TRAIN
แพทย์ทั่วโลกออกคำเตือนเร่งด่วนห้ามรับวัคซีนโควิด,FALSE,FALSE_ACTUAL_TRAIN
" ลูกอมกระชายขาว ต้านไวรัสโควิด-19 ได้ 99.99%

",FALSE,FALSE_ACTUAL_TRAIN
" เตรียมบังคับใช้แพลตฟอร์ม หมอพร้อม แสดงเอกสารฉีดวัคซีน เพื่อตรวจก่อนขึ้นเครื่องบิน

",FALSE,FALSE_ACTUAL_TRAIN
" รับประทานใบป่าช้าเหงาผสมน้ำผึ้ง ช่วยรักษาโควิด-19 ได้

",FALSE,FALSE_ACTUAL_TRAIN
" รัฐมนตรีกระทรวงต่างประเทศ ปฏิเสธการรับบริจาควัคซีน Moderna

",FALSE,FALSE_ACTUAL_TRAIN
" ธปท. ปล่อยกู้ช่วยสภาพคล่องร้านอาหาร-ไรเดอร์-ท่องเที่ยวจากผลโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" สหรัฐฯ มีผู้เสียชีวิตจากวัคซีนโควิด-19 มากกว่าล้านราย และกว่า 60 ล้านคนมีผลข้างเคียงที่ไม่ดี

",FALSE,FALSE_ACTUAL_TRAIN
ซื้อขายคิวฉีดวัคซีน โควิด19 ที่ศูนย์ฉีดฯสถานีกลางบางซื่อ,FALSE,FALSE_ACTUAL_TRAIN
" จ.อุบลราชธานี สั่งปิดตลาดสดเทศบาล 3 หลังพบแม่ค้าติดเชื้อโควิด-19 กว่า 32 คน

",FALSE,FALSE_ACTUAL_TRAIN
" คนพิการที่ติดโควิด-19 ได้รับการช่วยเหลือ 3,000 บาท หากเสียชีวิตช่วยเหลือ 5,000 บาท และช่วยถุงยังชีพชุดละ 550 บาท

",FALSE,FALSE_ACTUAL_TRAIN
" จ.สุพรรณบุรี ระบุหากฉีดวัคซีนไม่ครบ 2 เข็ม ห้ามติดต่อราชการ

",FALSE,FALSE_ACTUAL_TRAIN
"เชื้อโควิด-19 ป้องกันได้! แนะเพิ่มความเคร่งครัดให้มากขึ้น

",FALSE,FALSE_ACTUAL_TRAIN
" อังกฤษ ประกาศห้ามคนไทยเข้าประเทศ เนื่องจากไทยเป็น Red List ความเสี่ยงสูงสุด

",FALSE,FALSE_ACTUAL_TRAIN
" รพ.ศิริราช รับ walk in ฉีดวัคซีนโควิด-19 สำหรับผู้ที่ไม่สามารถหาจองได้

",FALSE,FALSE_ACTUAL_TRAIN
" ผู้ที่ติดเชื้อโควิด-19 จะไม่สามารถกลั้นหายใจได้

",FALSE,FALSE_ACTUAL_TRAIN
" คลิปจากต่างประเทศแนะดื่มน้ำร้อน และหายใจสูดไอน้ำ ช่วยฆ่าเชื้อโควิด-19 ในร่างกาย

",FALSE,FALSE_ACTUAL_TRAIN
" โครงการสนับสนุนสินเชื่อปล่อยกู้รายย่อย สำหรับผู้ได้รับผลกระทบจากโควิด-19 จากธนาคารของรัฐ

",FALSE,FALSE_ACTUAL_TRAIN
" นักวิทยาศาสตร์ของ Pfizer เตือนเรื่องการฉีดวัคซีนโควิด-19 ทำให้เสียชีวิตภายใน 2 สัปดาห์

",FALSE,FALSE_ACTUAL_TRAIN
ชวนนักท่องเที่ยวฉีดวัคซีนโควิดของไฟเซอร์ที่ สปป.ลาว ฟรี,FALSE,FALSE_ACTUAL_TRAIN
" เว็บไซต์ลงทะเบียนขอรับวัคซีนโควิด-19 ยี่ห้อไฟเซอร์ สำหรับคนไทย

",FALSE,FALSE_ACTUAL_TRAIN
" ทุกเรือนจำในประเทศไทย พบเชื้อโควิด-19 ระบาดเป็นจำนวนมาก ชนิดติดต่อกันแบบ 95%

",FALSE,FALSE_ACTUAL_TRAIN
" ประชาชนอายุ 55 ปีขึ้นไป สามารถ walk in ขอฉีดวัคซีน AstraZeneca ที่ไอคอนสยาม

",FALSE,FALSE_ACTUAL_TRAIN
" กินพริกไทยป่นผสมน้ำผึ้งและขิง ติดกัน 5 วันสามารถกำจัดโควิด-19 ได้

",FALSE,FALSE_ACTUAL_TRAIN
" โรงงานนิคมอุตสาหกรรม จ. ลำพูน พบผู้ติดเชื้อโควิด-19 จำนวนเกือบ 1,000 ราย

",FALSE,FALSE_ACTUAL_TRAIN
" สหรัฐยกเลิกการบริจาควัคซีนไฟเซอร์ ให้กับประเทศไทย

",FALSE,FALSE_ACTUAL_TRAIN
" รักษาผู้ป่วยโควิด-19 โดยการนำผิวมะกรูดหมักน้ำส้มสายชู 1 ชั่วโมง แล้วนำมาพ่นพร้อมสูดดม

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ฟ้าทะลายโจรแคปซูล ได้รับอนุญาตจาก อย. เลขทะเบียนที่ G468/41

",FALSE,FALSE_ACTUAL_TRAIN
" ทหารได้ฉีดไฟเซอร์เข็มสอง ที่โรงพยาบาลอานันทมหิดล

",FALSE,FALSE_ACTUAL_TRAIN
" ทานเนื้อวัว นมวัว ประจำเลือดมักเป็นกรด จะทำให้เชื้อไวรัสโควิด-19 เจริญเติบโต ได้เป็นอย่างดี

",FALSE,FALSE_ACTUAL_TRAIN
" ห้องทดลองเชื้อโรคที่ใหญ่ที่สุดในโลกของกองทัพสหรัฐ อยู่ที่กรุงเทพฯ

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์เบญจามินทร์ (Benjamin) ฟ้าทะลายโจร ชนิดแคปซูล เป็นผลิตภัณฑ์ที่ได้รับการรับรองจาก อย.

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ มอลินด้า สามารถป้องกันไวรัสโควิด-19 ได้

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ OK CLEAR ESSENTAIL GEL แค่สูดดม ป้องกันเชื้อไม่ให้ลงปอด

",FALSE,FALSE_ACTUAL_TRAIN
" เลื่อนการฉีดวัคซีนแอสตร้าเซนเนก้า เข็มที่ 2 เป็น 10 สัปดาห์

",FALSE,FALSE_ACTUAL_TRAIN
" นัดฉีดวัคซีนยี่ห้อ Sinopharm ที่รพ.ศิริราช ต้องเสียค่าใช้จ่าย

",FALSE,FALSE_ACTUAL_TRAIN
" ฉีดแอสตร้าฯ ครบโดส แต่สถานทูตไม่รับรอง ระบุล็อตที่ผลิตในไทยถือว่าไม่ได้ฉีด

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ยาแคปซูลฟ้าทะลายโจร ตราวังสมุนไพรตะวัน เป็นผลิตภัณฑ์ที่รับอนุญาตจาก อย.

",FALSE,FALSE_ACTUAL_TRAIN
" ศาลฎีกายกเลิกการฉีดวัคซีนสากลในสหรัฐอเมริกา

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์สเปรย์ฟ้าทะลายโจร Sabira Oral Spray สามารถฆ่าเชื้อโควิด-19 ไม่ให้ลงปอดได้

",FALSE,FALSE_ACTUAL_TRAIN
" ตรวจเชิงรุกชุมชนบ้านพักรถไฟหาดใหญ่ 1,000 คน พบติดเชื้อร้อยละ 40

",FALSE,FALSE_ACTUAL_TRAIN
" ลูกอมรสกระชายผสม ZINC สามารถต้านโควิด-19 ได้

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ AVAIL Pro-Polis สามารถต้านไวรัสโควิด-19 ได้

",FALSE,FALSE_ACTUAL_TRAIN
" สำนักงานเขตบางรัก พบผู้ติดเชื้อโควิด-19 ทั้งสำนักงาน พร้อมเตรียมปิดบริการ

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ยาแคปซูลฟ้าทะลายโจรสกัด สี่พระยาโอสถ เป็นผลิตภัณฑ์ที่ได้รับอนุญาตจาก อย.

",FALSE,FALSE_ACTUAL_TRAIN
" กระชาย บอระเพ็ด ไม้ก้องขม และฟ้าทะลายโจร บดเป็นผงบรรจุแคปซูล กินช่วยรักษาโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" กลุ่มคนไทย 7 คนหลงป่าข้ามไปยังเขตแดนประเทศลาว ถูกจับแล้วได้รับการฉีดวัคซีน mRNA ก่อนส่งกลับไทย

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์เสริมอาหาร วีโอดี เฮิร์บ พลัส มีฟ้าทะลายโจรเป็นส่วนประกอบ

",FALSE,FALSE_ACTUAL_TRAIN
" วัคซีน Pfizer มีส่วนผสมของแม่เหล็ก ทำให้มีผลกระทบต่อร่างกายในอีก 1-2 ปี

",FALSE,FALSE_ACTUAL_TRAIN
" ใบหนานเฉาเหว่ย สามารถรักษาผู้ติดเชื้อโควิด-19 หายได้

",FALSE,FALSE_ACTUAL_TRAIN
" วิธีสวมหน้ากากอนามัย ขณะรับประทานอาหาร

",FALSE,FALSE_ACTUAL_TRAIN
" โรงพยาบาลกรุงเทพเปิดให้ลงทะเบียนจองวัคซีน Pfizer ผ่านเว็บ siampfizer

",FALSE,FALSE_ACTUAL_TRAIN
" ยา 6 ชนิด ที่ต้องเตรียมไว้ใช้รักษาโควิด-19 ด้วยตนเองที่บ้าน

",FALSE,FALSE_ACTUAL_TRAIN
" ผลิตภัณฑ์ฟ้าทะลายโจร 100% ตราอินทารา ต่อต้านเชื้อไวรัสโควิด-19 ได้

",FALSE,FALSE_ACTUAL_TRAIN
" ภูเก็ตซีลป่าตอง ปิดแคมป์คนงาน 1 เดือน หลังพบคนงานติดเชื้อโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" ประเทศไทยมีผู้ติดเชื้อโควิด-19 เป็นอันดับ 1 ของโลก และมีผู้เสียชีวิตเป็นอันดับ 2 ของโลก

",FALSE,FALSE_ACTUAL_TRAIN
" อเมริกาจะปล่อยเชื้อโควิดในประเทศไทย ผู้ที่ได้รับเชื้อจะมีอาการรุนแรงภายใน 2 ชม. และอยู่ได้ไม่เกิน 2 - 3 วัน

",FALSE,FALSE_ACTUAL_TRAIN
" ผู้ป่วยโควิด-19 จำนวน 3 ราย ถูกทหารปล่อยทิ้งกลางทาง เนื่องจากปลายทางมีระยะไกล

",FALSE,FALSE_ACTUAL_TRAIN
" ร.ต.ต.ไสว ทองปิด ตำรวจจราจร สน.บางคอแหลม ติดเชื้อโควิด-19 แต่ไม่ได้รับสิทธิ์รักษาตัวที่นครบาล ต้องไปรักษาตัวที่บ้านเกิด

",FALSE,FALSE_ACTUAL_TRAIN
" ธุรกิจขนส่งทุกแห่งไม่สามารถส่งของได้ทุกพื้นที่ เนื่องจากสถานการณ์โควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" ใส่หน้ากากอนามัย ที่ไม่ระบุ VFE ทำให้ป้องกันไวรัสไม่ได้ 

",FALSE,FALSE_ACTUAL_TRAIN
" น้ำมันเหลือง-น้ำมันเขียว ใช้ทาจมูก หรือทาผ้าปิดจมูก ช่วยป้องกันไวรัส

",FALSE,FALSE_ACTUAL_TRAIN
" เว็บ https://t.co/UGcKqsqHMb เปิดลงทะเบียนจองฉีดวัคซีนไฟเซอร์ โควตาพิเศษ จำกัด 20,000 โดส

",FALSE,FALSE_ACTUAL_TRAIN
" ชุดตรวจโควิด-19 SGTi-flex COVID-19 Ag ได้รับอนุญาติจาก อย. ไทยแล้ว

",FALSE,FALSE_ACTUAL_TRAIN
" ด.ต.วัชระกร บุญตา เสียชีวิต หลังฉีดวัคซีนแอสตร้าเซเนก้า เข็มที่ 2

",FALSE,FALSE_ACTUAL_TRAIN
" จ.อุบลราชธานี เหมาขบวนรถไฟ รับผู้ป่วยโควิด-19 จำนวน 1,400 คนกลับบ้าน

",FALSE,FALSE_ACTUAL_TRAIN
" วัคซีนไฟเซอร์สำหรับฉีด booster ให้บุคลากรการแพทย์ โดนลดเหลือแค่ 2 แสนโดส

",FALSE,FALSE_ACTUAL_TRAIN
" ขอความร่วมมือผู้ประกอบการทั่วประเทศ งดส่งสินค้าทุกประเภทเข้าจังหวัดภูเก็ต

",FALSE,FALSE_ACTUAL_TRAIN
" ภาพประชาชนชาวไทยเสียชีวิต ถูกห่อไว้เป็นจำนวนมาก

",FALSE,FALSE_ACTUAL_TRAIN
" ปิดจุดตรวจโควิด-19 เขตดินแดง เนื่องจากพบผู้ติดเชื้อมากเกินไป

",FALSE,FALSE_ACTUAL_TRAIN
" บังคับหมอพยาบาลให้ฉีควัคซีนแอสตร้าฯ เพื่อนำวัคซีนไฟเซอร์ไปฉีดให้กลุ่ม VVIP

",FALSE,FALSE_ACTUAL_TRAIN
" ตำรวจ สภ.พุทธมณฑล ติดเชื้อโควิด-19 ทั้งโรงพัก

",FALSE,FALSE_ACTUAL_TRAIN
" รัฐสั่งปิดข้อมูล คนงานบริษัท บีฟู้ดส์ โปรดักส์ อินเตอร์เนชั่นเนล จำกัด จ.ลพบุรี ติดโควิด-19 หลายพันคน

",FALSE,FALSE_ACTUAL_TRAIN
" ผู้ติดเชื้อโควิด-19 ทุกคนจะไม่สามารถกลั้นหายใจได้

",FALSE,FALSE_ACTUAL_TRAIN
" พบพนักงาน Mk โลตัส สาขารังษิณา จ.อุดรธานี ติดเชื้อโควิด-19

",FALSE,FALSE_ACTUAL_TRAIN
" ใบกระท่อม สามารถต้านโควิด-19 ได้

",FALSE,FALSE_ACTUAL_TRAIN
พบธาตุเหล็กกับโครเมี่ยม ในวัคซีนแอสตร้าเซนเนก้า,FALSE,FALSE_ACTUAL_TRAIN
" Phuket Sandbox ควบคุมการแพร่โควิด-19 ไม่อยู่ สั่งปิดทั้งเกาะภูเก็ตแล้ว

",FALSE,FALSE_ACTUAL_TRAIN
" ทุบหอมแดง กระเทียม ใส่ถุงพลาสติกและสูดดม ช่วยยับยั้งการเจริญเติบโตของเชื้อไวรัส

",FALSE,FALSE_ACTUAL_TRAIN
" ประชาชนอายุต่ำกว่า 60 ปี สามารถโทรนัดหมายฉีดวัคซีน ที่สถานีกลางบางซื่อได้แล้ว

",FALSE,FALSE_ACTUAL_TRAIN
